datetime,ci,price
2022-11-23 17:00:00,309.01,75.0
2022-11-23 18:00:00,314.74,75.0
2022-11-23 19:00:00,320.07,45.0
2022-11-23 20:00:00,314.63,45.0
2022-11-23 21:00:00,308.59,45.0
2022-11-23 22:00:00,308.21,25.0
2022-11-23 23:00:00,296.82,25.0
2022-11-24 00:00:00,287.66,25.0
2022-11-24 01:00:00,282.03,25.0
2022-11-24 02:00:00,275.65,25.0
2022-11-24 03:00:00,276.27,25.0
2022-11-24 04:00:00,277.72,25.0
2022-11-24 05:00:00,274.22,25.0
2022-11-24 06:00:00,269.99,45.0
2022-11-24 07:00:00,262.78,45.0
2022-11-24 08:00:00,264.2,45.0
2022-11-24 09:00:00,260.49,45.0
2022-11-24 10:00:00,249.67,45.0
2022-11-24 11:00:00,245.49,45.0
2022-11-24 12:00:00,237.35,45.0
2022-11-24 13:00:00,240.62,75.0
2022-11-24 14:00:00,242.36,75.0
2022-11-24 15:00:00,237.01,75.0
2022-11-24 16:00:00,236.05,75.0
2022-11-24 17:00:00,232.62,75.0
2022-11-24 18:00:00,228.83,75.0
2022-11-24 19:00:00,227.45,45.0
2022-11-24 20:00:00,239.78,45.0
2022-11-24 21:00:00,235.74,45.0
2022-11-24 22:00:00,237.85,25.0
2022-11-24 23:00:00,249.59,25.0
2022-11-25 00:00:00,242.84,25.0
2022-11-25 01:00:00,238.81,25.0
2022-11-25 02:00:00,243.71,25.0
2022-11-25 03:00:00,241.4,25.0
2022-11-25 04:00:00,242.81,25.0
2022-11-25 05:00:00,238.41,25.0
2022-11-25 06:00:00,233.91,45.0
2022-11-25 07:00:00,242.1,45.0
2022-11-25 08:00:00,237.67,45.0
2022-11-25 09:00:00,238.0,45.0
2022-11-25 10:00:00,243.7,45.0
2022-11-25 11:00:00,246.09,45.0
2022-11-25 12:00:00,240.0,45.0
2022-11-25 13:00:00,234.71,75.0
2022-11-25 14:00:00,224.09,75.0
2022-11-25 15:00:00,205.96,75.0
2022-11-25 16:00:00,198.22,75.0
