date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-01-01,41383.0,33744.0,197816.0,0.0,308.0,333.0,74504.0,0.0
2019-01-02,53032.0,91302.0,198437.0,0.0,453.0,74.0,80081.0,0.0
2019-01-03,53158.0,119721.0,198452.0,0.0,538.0,172.0,73810.0,0.0
2019-01-04,52500.0,112557.0,198315.0,0.0,509.0,161.0,75025.0,0.0
2019-01-05,51606.0,100697.0,198700.0,0.0,406.0,952.0,79248.0,0.0
2019-01-06,43119.0,91495.0,199089.0,0.0,398.0,863.0,77582.0,0.0
2019-01-07,39541.0,83868.0,198745.0,0.0,459.0,481.0,81117.0,0.0
2019-01-08,45824.0,73154.0,198329.0,0.0,493.0,703.0,76162.0,0.0
2019-01-09,54066.0,105618.0,198939.0,0.0,496.0,1049.0,78173.0,0.0
2019-01-10,67997.0,170059.0,199490.0,0.0,548.0,1020.0,81640.0,0.0
2019-01-11,90909.0,167851.0,199676.0,0.0,457.0,474.0,86279.0,0.0
2019-01-12,81819.0,105757.0,200065.0,0.0,395.0,83.0,80217.0,0.0
2019-01-13,78328.0,79025.0,199957.0,0.0,389.0,77.0,78282.0,0.0
2019-01-14,85440.0,126227.0,199902.0,0.0,361.0,130.0,88022.0,0.0
2019-01-15,92626.0,165541.0,199912.0,0.0,423.0,363.0,69331.0,0.0
2019-01-16,85044.0,163666.0,198903.0,0.0,378.0,904.0,82186.0,0.0
2019-01-17,86917.0,136978.0,199641.0,0.0,411.0,70.0,81198.0,0.0
2019-01-18,82564.0,97266.0,199225.0,0.0,468.0,214.0,79255.0,0.0
2019-01-19,82965.0,54865.0,198749.0,0.0,249.0,180.0,72491.0,0.0
2019-01-20,98147.0,112340.0,198058.0,0.0,403.0,823.0,76373.0,0.0
2019-01-21,127535.0,188850.0,199622.0,0.0,350.0,1111.0,83858.0,0.0
2019-01-22,126131.0,154719.0,199180.0,0.0,252.0,320.0,80694.0,0.0
2019-01-23,105882.0,86168.0,198710.0,0.0,280.0,55.0,72149.0,0.0
2019-01-24,113403.0,111470.0,198970.0,0.0,163.0,1564.0,77081.0,0.0
2019-01-25,122172.0,141120.0,199495.0,0.0,269.0,1165.0,72857.0,0.0
2019-01-26,114456.0,123020.0,199968.0,0.0,641.0,967.0,82420.0,0.0
2019-01-27,105382.0,89850.0,199818.0,0.0,425.0,1022.0,74250.0,0.0
2019-01-28,103458.0,92263.0,199551.0,0.0,208.0,736.0,76246.0,0.0
2019-01-29,119641.0,115245.0,199308.0,0.0,187.0,42013.0,77117.0,0.0
2019-01-30,148076.0,175957.0,199786.0,0.0,485.0,1093.0,80089.0,0.0
2019-01-31,143714.0,173748.0,199740.0,0.0,518.0,1043.0,90492.0,0.0
2019-02-01,111661.0,108303.0,199703.0,0.0,490.0,459.0,77351.0,0.0
2019-02-02,66135.0,80211.0,199304.0,0.0,487.0,920.0,78138.0,0.0
2019-02-03,56023.0,61386.0,179227.0,0.0,459.0,852.0,79733.0,0.0
2019-02-04,59011.0,86270.0,169487.0,0.0,454.0,142.0,79659.0,0.0
2019-02-05,58697.0,79554.0,169059.0,0.0,504.0,228.0,73046.0,0.0
2019-02-06,51578.0,70343.0,168469.0,0.0,492.0,140.0,79047.0,0.0
2019-02-07,59133.0,66749.0,168317.0,0.0,510.0,344.0,69598.0,0.0
2019-02-08,52867.0,108922.0,175159.0,0.0,378.0,1127.0,71306.0,0.0
2019-02-09,66150.0,143306.0,195437.0,0.0,87.0,1075.0,86662.0,0.0
2019-02-10,39907.0,119743.0,197754.0,0.0,201.0,274.0,84221.0,0.0
2019-02-11,46019.0,105540.0,195967.0,0.0,353.0,139.0,81342.0,0.0
2019-02-12,37535.0,95854.0,196630.0,0.0,412.0,576.0,59641.0,0.0
2019-02-13,45923.0,124753.0,197530.0,0.0,434.0,1689.0,74014.0,0.0
2019-02-14,44253.0,127083.0,197537.0,0.0,515.0,687.0,74419.0,0.0
2019-02-15,46575.0,93494.0,196627.0,0.0,512.0,247.0,79405.0,0.0
2019-02-16,55691.0,120364.0,196942.0,5.0,571.0,384.0,75529.0,0.0
2019-02-17,48292.0,110115.0,196956.0,0.0,471.0,165.0,75527.0,0.0
2019-02-18,49161.0,144566.0,196681.0,0.0,409.0,959.0,71211.0,0.0
2019-02-19,57530.0,197171.0,193059.0,0.0,383.0,110.0,81813.0,0.0
2019-02-20,50020.0,171029.0,196908.0,2.0,67.0,161.0,60002.0,0.0
2019-02-21,43388.0,161334.0,196191.0,0.0,300.0,397.0,43644.0,0.0
2019-02-22,48210.0,150813.0,196120.0,0.0,521.0,149.0,55107.0,0.0
2019-02-23,48698.0,105246.0,195850.0,0.0,504.0,246.0,51547.0,0.0
2019-02-24,45449.0,88351.0,190822.0,0.0,297.0,1206.0,39292.0,0.0
2019-02-25,54865.0,142468.0,191063.0,0.0,442.0,1148.0,49806.0,0.0
2019-02-26,52516.0,131378.0,195617.0,0.0,434.0,1308.0,69572.0,0.0
2019-02-27,44792.0,98019.0,194747.0,0.0,383.0,800.0,73924.0,0.0
2019-02-28,43956.0,95050.0,194613.0,0.0,275.0,379.0,73458.0,0.0
2019-03-01,51605.0,120752.0,194241.0,0.0,515.0,320.0,71530.0,0.0
2019-03-02,68416.0,111466.0,175970.0,0.0,358.0,321.0,69778.0,0.0
2019-03-03,82276.0,104865.0,173426.0,0.0,379.0,167.0,67084.0,0.0
2019-03-04,111737.0,173065.0,173872.0,0.0,442.0,1238.0,77284.0,0.0
2019-03-05,116127.0,190522.0,174164.0,0.0,437.0,1809.0,67982.0,0.0
2019-03-06,119389.0,182456.0,174117.0,0.0,554.0,1704.0,68902.0,0.0
2019-03-07,108768.0,157496.0,173813.0,0.0,412.0,471.0,79716.0,0.0
2019-03-08,80650.0,145547.0,173460.0,0.0,342.0,164.0,68713.0,0.0
2019-03-09,69833.0,85887.0,173164.0,0.0,89.0,178.0,67168.0,0.0
2019-03-10,66065.0,64846.0,149581.0,0.0,260.0,1542.0,64811.0,0.0
2019-03-11,70301.0,114731.0,142599.0,0.0,412.0,945.0,66469.0,0.0
2019-03-12,67038.0,137820.0,142783.0,0.0,462.0,1021.0,65895.0,0.0
2019-03-13,58401.0,111907.0,142599.0,0.0,594.0,881.0,68439.0,0.0
2019-03-14,56862.0,93058.0,140565.0,0.0,291.0,1017.0,71371.0,0.0
2019-03-15,61601.0,96243.0,142904.0,0.0,465.0,1779.0,70386.0,0.0
2019-03-16,65790.0,107348.0,148061.0,0.0,456.0,2038.0,78972.0,0.0
2019-03-17,59955.0,110865.0,154974.0,0.0,482.0,2194.0,73937.0,0.0
2019-03-18,63710.0,132053.0,154989.0,0.0,515.0,1924.0,67472.0,0.0
