local_hour,total_nodes,active_nodes,avg_gpu_power_W,idle_nodes,utilization_rate,cluster_power_kW,active_power_kW,idle_power_kW,active_energy_kWh,shiftable_energy_kWh,shiftable_energy_20p_kWh,shiftable_energy_40p_kWh,snapshot_date,hour_of_day,datetime,carbon_intensity_gCO2_per_kWh,day_min_ci,day_max_ci,low_carbon_share,fossil_share,total_generation_MWh,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,ci_rolling_24h,ci_rolling_7d,baseline_carbon_gCO2,optimized_carbon_gCO2,carbon_saved_gCO2,carbon_reduction_pct,baseline_carbon_kg,optimized_carbon_kg,carbon_saved_kg,optimized_carbon_20p_gCO2,carbon_saved_20p_gCO2,optimized_carbon_40p_gCO2,carbon_saved_40p_gCO2,is_green_hour,projected_annual_saving_tCO2,projected_annual_saving_20p_tCO2,projected_annual_saving_40p_tCO2
2020-01-19 19:00:00,4626,4090,608.86566,536,0.884,5091.7036,4725.791,365.91214,4725.791,1417.7373,945.1582,1890.3164,2020-01-20,19,2020-01-19 19:00:00,216.63,178.43,258.05,0.6586,0.3403,18508.0,2118.0,4181.0,8446.0,0.0,20.0,182.0,3561.0,0.0,221.72,208.45,1023748.1,969590.54,54157.56,5.29,1023.748,969.591,54.158,987643.06,36105.04,951538.02,72210.08,1,292.56,195.04,390.08
2020-01-19 20:00:00,4626,3981,587.0527,645,0.861,5031.3423,4565.0923,466.24997,4565.0923,1369.5277,913.0185,1826.037,2020-01-20,20,2020-01-19 20:00:00,212.67,178.43,258.05,0.6684,0.3304,18245.0,2103.0,3925.0,8453.0,0.0,22.0,189.0,3553.0,0.0,221.39,208.76,970858.18,923965.55,46892.63,4.83,970.858,923.966,46.893,939596.43,31261.75,908334.67,62523.51,1,292.56,195.04,390.08
2020-01-19 21:00:00,4626,4560,627.01605,66,0.986,5333.9546,5289.0474,44.907055,5289.0474,1586.7142,1057.8094,2115.619,2020-01-20,21,2020-01-19 21:00:00,213.61,178.43,258.05,0.6721,0.3268,18096.0,2172.0,3741.0,8444.0,0.0,20.0,191.0,3528.0,0.0,221.09,209.04,1129793.42,1073972.81,55820.61,4.94,1129.793,1073.973,55.821,1092579.68,37213.74,1055365.94,74427.48,1,292.56,195.04,390.08
2020-01-19 22:00:00,4626,4526,614.33057,100,0.978,5229.8677,5159.9937,69.87397,5159.9937,1547.9982,1031.9988,2063.9976,2020-01-20,22,2020-01-19 22:00:00,218.18,178.43,258.05,0.6615,0.3375,18363.0,2197.0,4000.0,8446.0,0.0,19.0,153.0,3548.0,0.0,220.73,209.33,1125807.43,1064274.5,61532.93,5.47,1125.807,1064.274,61.533,1084785.47,41021.96,1043763.52,82043.91,1,292.56,195.04,390.08
2020-01-19 23:00:00,4626,3710,563.65155,916,0.802,4846.7363,4226.092,620.6444,4226.092,1267.8276,845.2184,1690.4368,2020-01-20,23,2020-01-19 23:00:00,234.71,178.43,258.05,0.6186,0.3803,19488.0,2234.0,5178.0,8449.0,0.0,20.0,40.0,3567.0,0.0,220.9,209.65,991906.05,920552.72,71353.33,7.19,991.906,920.553,71.353,944337.16,47568.89,896768.27,95137.78,1,292.56,195.04,390.08
2020-01-20 00:00:00,4626,3954,577.085,672,0.855,4932.807,4483.7026,449.10443,4483.7026,1345.1108,896.74054,1793.4811,2020-01-20,0,2020-01-20 00:00:00,238.83,238.83,319.17,0.6027,0.3963,21367.0,2330.0,6138.0,8457.0,0.0,22.0,0.0,4420.0,0.0,221.87,210.04,1070842.69,1070842.69,0.0,0.0,1070.843,1070.843,0.0,1070842.69,0.0,1070842.69,0.0,1,292.56,195.04,390.08
2020-01-20 01:00:00,4626,3089,551.8842,1537,0.668,4689.09,3641.351,1047.739,3641.351,1092.4054,728.2702,1456.5404,2020-01-20,1,2020-01-20 01:00:00,248.19,238.83,319.17,0.5941,0.405,22201.0,2644.0,6347.0,8457.0,0.0,20.0,0.0,4733.0,0.0,224.41,210.5,903746.9,893521.99,10224.91,1.13,903.747,893.522,10.225,896930.3,6816.6,890113.69,13633.21,1,292.56,195.04,390.08
2020-01-20 02:00:00,4626,3899,552.1595,727,0.843,4727.406,4231.046,496.3599,4231.046,1269.3138,846.20917,1692.4183,2020-01-20,2,2020-01-20 02:00:00,252.48,238.83,319.17,0.5848,0.4144,22531.0,2687.0,6649.0,8457.0,0.0,19.0,0.0,4719.0,0.0,227.49,210.97,1068254.49,1050928.36,17326.13,1.62,1068.254,1050.928,17.326,1056703.74,11550.75,1045152.98,23101.51,1,292.56,195.04,390.08
2020-01-20 03:00:00,4626,4443,588.2372,183,0.96,5072.3267,4940.511,131.81581,4940.511,1482.1534,988.10223,1976.2045,2020-01-20,3,2020-01-20 03:00:00,254.01,238.83,319.17,0.5849,0.4141,22549.0,2753.0,6585.0,8464.0,0.0,23.0,0.0,4724.0,0.0,230.46,211.47,1254939.2,1232440.11,22499.09,1.79,1254.939,1232.44,22.499,1239939.81,14999.39,1224940.41,29998.79,1,292.56,195.04,390.08
2020-01-20 04:00:00,4626,3866,651.629,760,0.836,5359.081,4882.0996,476.9814,4882.0996,1464.6299,976.4199,1952.8398,2020-01-20,4,2020-01-20 04:00:00,261.36,238.83,319.17,0.5714,0.4277,22378.0,2785.0,6787.0,8461.0,0.0,19.0,0.0,4326.0,0.0,233.49,211.97,1275985.55,1242987.44,32998.11,2.59,1275.986,1242.987,32.998,1253986.81,21998.74,1231988.07,43997.48,1,292.56,195.04,390.08
